latitude,longitude,room_type,property_type,accommodates,bedrooms,bathrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,maximum_nights,availability_365,instant_bookable,host_is_superhost,price
43.77426,11.25681,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,238.0,2.46,4.74,1,29,355,1.0,1.0,141.0
43.76249,11.27528,Entire home/apt,Entire home,4,2.0,1.0,3.0,83.0,0.87,4.81,2,1125,36,1.0,1.0,120.0
43.76659,11.23976,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,54.0,0.56,4.8,2,29,111,1.0,1.0,88.0
43.77049,11.26929,Entire home/apt,Entire rental unit,8,4.0,3.5,6.0,13.0,0.14,4.69,3,1125,5,1.0,1.0,483.0
43.77208,11.26957,Entire home/apt,Entire rental unit,4,2.0,3.0,3.0,36.0,0.38,4.58,3,1125,5,1.0,1.0,335.0
43.76707,11.25081,Entire home/apt,Entire rental unit,6,2.0,2.0,3.0,27.0,0.28,4.63,3,1125,156,1.0,1.0,347.0
43.76969,11.26105,Entire home/apt,Entire condo,4,1.0,1.0,3.0,74.0,0.78,4.66,2,1125,143,0.0,0.0,91.0
43.78126,11.25698,Entire home/apt,Entire rental unit,6,4.0,2.0,6.0,11.0,0.13,4.55,1,1125,44,1.0,0.0,261.0
43.78896,11.27119,Entire home/apt,Entire condo,3,1.0,1.0,2.0,2.0,1.5,5.0,2,30,45,0.0,0.0,81.0
43.76704,11.25881,Entire home/apt,Entire rental unit,5,3.0,1.5,4.0,23.0,0.32,4.22,1,1125,41,1.0,0.0,123.0
43.76817,11.26208,Entire home/apt,Entire rental unit,5,3.0,2.0,4.0,105.0,1.1,4.68,3,730,156,1.0,0.0,120.0
43.80386106381168,11.238261128287425,Entire home/apt,Entire condo,7,1.0,1.0,5.0,95.0,1.02,4.94,1,29,285,0.0,1.0,98.0
43.76872,11.32291,Entire home/apt,Entire villa,10,4.0,4.0,7.0,27.0,0.32,4.89,7,1125,151,0.0,1.0,650.0
43.75948,11.24142,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,525.0,5.58,4.93,1,1125,321,0.0,1.0,90.0
43.78577,11.27139,Entire home/apt,Entire rental unit,5,2.0,1.0,3.0,66.0,0.69,4.95,3,29,292,0.0,1.0,155.0
43.78624,11.26515,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,55.0,0.58,4.85,2,30,34,1.0,0.0,100.0
43.77667,11.25757,Entire home/apt,Entire rental unit,4,2.0,1.0,3.0,93.0,0.98,4.74,1,1125,251,1.0,0.0,131.0
43.77248,11.24628,Private room,Private room in rental unit,2,1.0,1.0,1.0,334.0,3.49,4.86,1,28,156,1.0,1.0,89.0
43.77084,11.25586,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,3.0,0.03,4.33,3,780,0,1.0,0.0,282.0
43.76831,11.26826,Entire home/apt,Entire loft,5,2.0,2.5,4.0,30.0,0.32,4.87,2,1125,68,0.0,0.0,317.0
43.76755905151367,11.250102996826172,Entire home/apt,Entire rental unit,6,2.0,1.5,3.0,141.0,1.48,4.67,1,1125,159,1.0,0.0,912.0
43.7674996853146,11.243913775397235,Entire home/apt,Entire rental unit,4,2.0,1.0,2.0,56.0,0.59,4.71,3,28,139,1.0,0.0,150.0
43.77323,11.26306,Entire home/apt,Entire rental unit,8,4.0,3.0,5.0,61.0,0.67,4.92,3,30,298,1.0,1.0,445.0
43.7716,11.25691,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,492.0,5.14,4.85,1,1125,137,1.0,0.0,111.0
43.7669,11.24957,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,71.0,0.74,4.85,2,1125,261,1.0,,190.0
43.7664,11.25158,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,317.0,3.41,4.98,3,25,268,0.0,1.0,117.0
43.77132,11.25758,Entire home/apt,Entire rental unit,4,0.0,1.0,4.0,340.0,3.55,4.96,1,1125,87,1.0,1.0,164.0
43.78411,11.23822,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,150.0,1.57,4.84,2,60,315,1.0,0.0,93.0
43.77535,11.23899,Entire home/apt,Entire guest suite,2,1.0,1.0,1.0,429.0,4.55,4.85,1,30,298,1.0,1.0,161.0
43.77161,11.27659,Entire home/apt,Entire home,6,2.0,2.0,3.0,107.0,1.13,4.83,3,100,322,0.0,1.0,89.0
43.77162,11.25994,Entire home/apt,Entire condo,4,2.0,1.0,3.0,1.0,0.03,5.0,3,40,10,1.0,1.0,120.0
43.76583,11.24569,Entire home/apt,Entire condo,4,1.0,1.0,1.0,227.0,2.43,4.95,2,1125,320,1.0,1.0,148.0
43.77322,11.23416,Private room,Private room in bed and breakfast,1,1.0,1.0,1.0,424.0,4.46,4.91,1,1125,65,1.0,1.0,55.0
43.77411249337376,11.246742106577642,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,278.0,3.15,4.45,31,729,289,1.0,0.0,63.0
43.77247,11.24623,Entire home/apt,Entire condo,4,1.0,1.0,2.0,207.0,2.19,4.93,3,365,190,0.0,1.0,108.0
43.77351,11.24657,Entire home/apt,Entire loft,2,2.0,1.0,4.0,266.0,2.82,4.94,2,30,245,0.0,1.0,128.0
43.77667,11.25458,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,140.0,1.49,4.53,1,30,113,1.0,0.0,117.0
43.77385,11.24993,Entire home/apt,Entire rental unit,4,2.0,1.0,3.0,305.0,3.22,4.96,3,10,121,0.0,1.0,150.0
43.78649990750253,11.249096027737131,Private room,Private room in home,3,1.0,1.0,2.0,14.0,0.15,4.43,2,120,230,1.0,0.0,64.0
43.75857,11.24183,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,452.0,4.77,4.97,2,8,275,1.0,1.0,120.0
